rec_date,code,source_type,grade,direction,catalyst,valid_until,source
20260715,688166.SH,intraday,C,long,创新药BD授权1100亿美元创新高+基药目录八年首更，博瑞医药20cm涨停,,午盘信息
20260715,688192.SH,intraday,C,long,创新药领涨，迪哲医药20cm涨停,,午盘信息
20260715,300149.SZ,intraday,C,long,创新药领涨，睿智医药20cm涨停,,午盘信息
20260715,600664.SH,intraday,C,long,创新药/医药情绪，哈药股份4连板,,午盘信息
20260715,603127.SH,intraday,C,long,创新药+试验猴涨价（CRO），昭衍新药10cm,,午盘信息
20260715,002821.SZ,intraday,C,long,创新药CXO跟涨，凯莱英,,午盘信息
20260715,300759.SZ,intraday,C,long,创新药CXO跟涨，康龙化成,,午盘信息
20260715,688068.SH,intraday,C,long,创新药板块跟涨，热景生物,,午盘信息
20260715,600857.SH,intraday,C,long,扩消费十五五规划（2030社零60万亿），宁波中百涨停,,午盘信息
20260715,600785.SH,intraday,C,long,消费零售活跃，新华百货跟涨,,午盘信息
20260715,601888.SH,intraday,C,long,消费政策催化，中国中免跟涨,,午盘信息
20260715,601933.SH,intraday,C,long,消费零售活跃，永辉超市跟涨,,午盘信息
20260715,600199.SH,intraday,C,long,白酒超跌反弹资金运作，金种子酒涨停,,午盘信息
20260715,000799.SZ,intraday,C,long,白酒超跌反弹，酒鬼酒跟涨,,午盘信息
20260715,603369.SH,intraday,C,long,白酒超跌反弹，今世缘跟涨,,午盘信息
20260715,601869.SH,intraday,C,long,AI硬件业绩预告催化，长飞光纤一度涨停,,午盘信息
